Game_ID,Game_Name,Genre,Platform,Country,Region,Player_ID,Age_Group,Gender,Device,Play_Date,Session_Duration_Min,Daily_Active_Users,Monthly_Active_Users,Revenue_USD,In_App_Purchases_USD,Purchases_Count,Average_Purchase_Value,Retention_Rate,Game_Rating,Tournament,Premium_User
G010,Valorant,FPS,Mobile,Indonesia,Asia,P000001,45+,Male,Android,2025-03-30,116,212001,1272006,19036.64,12715.35,3015,4.22,53.02,3.9,No,Yes
G001,Undawn,RPG,Mobile,India,Asia,P000002,25-34,Female,Android,2025-05-01,151,122041,732246,144698.63,86579.01,1831,47.29,45.67,4.7,Yes,Yes
G010,Undawn,RPG,Mobile,Germany,Europe,P000003,45+,Male,iOS,2026-03-14,203,339974,3739714,93726.99,63160.02,534,118.28,46.05,4.4,No,No
G005,League of Legends,MOBA,PC,Brazil,South America,P000004,25-34,Female,iOS,2025-03-16,35,421483,4214830,175049.61,91384.34,4725,19.34,59.3,3.7,No,Yes
G006,Speed Drifters,Racing,PC,South Korea,Asia,P000005,45+,Female,PC,2026-04-13,22,25555,178885,191378.15,131383.58,2590,50.73,81.28,4.9,No,Yes
G001,Honor of Kings,MOBA,PC,USA,North America,P000006,25-34,Male,PC,2025-04-30,131,344281,6541339,71864.29,42608.03,2862,14.89,28.95,4.7,Yes,Yes
G005,CrossFire,FPS,Mobile,South Korea,Asia,P000007,35-44,Female,PC,2026-03-02,96,485675,9713500,21064.74,13156.9,4521,2.91,70.74,4.1,Yes,Yes
G003,PUBG Mobile,Battle Royale,PC,Indonesia,Asia,P000008,25-34,Male,Android,2026-03-06,141,84323,1011876,164970.65,66983.29,4846,13.82,49.74,4.3,Yes,Yes
G001,Speed Drifters,Racing,Mobile,UK,Europe,P000009,13-17,Male,iOS,2025-06-16,33,210719,3582223,100345.73,45333.04,3300,13.74,47.78,3.6,Yes,Yes
G003,Chess Rush,Strategy,PC,India,Asia,P000010,25-34,Female,iOS,2025-05-06,34,195636,978180,18508.58,9327.89,3102,3.01,81.88,5.0,No,No
G008,Speed Drifters,Racing,Mobile,USA,North America,P000011,45+,Male,Android,2026-06-25,97,50028,450252,26444.72,15108.34,2188,6.91,34.82,4.3,Yes,No
G009,PUBG Mobile,Battle Royale,PC,USA,North America,P000012,18-24,Male,Android,2026-02-15,194,276789,4428624,227156.38,131261.88,1845,71.14,78.82,3.8,No,No
G006,Honor of Kings,MOBA,PC,China,Asia,P000013,25-34,Female,Android,2025-08-14,31,419247,5450211,118587.78,58917.07,4977,11.84,40.2,3.8,Yes,No
G002,Undawn,RPG,PC,Germany,Europe,P000014,18-24,Female,Android,2026-03-21,207,445630,2228150,120388.88,87461.2,714,122.49,67.6,3.6,No,No
G010,CrossFire,FPS,PC,India,Asia,P000015,18-24,Female,PC,2025-12-25,44,385003,3850030,43330.91,20084.71,1258,15.97,61.76,3.7,Yes,Yes
G004,Chess Rush,Strategy,PC,Indonesia,Asia,P000016,45+,Male,PC,2025-11-30,71,232441,2556851,206712.66,104497.63,2083,50.17,61.47,4.8,Yes,No
G009,Speed Drifters,Racing,Mobile,Germany,Europe,P000017,45+,Male,iOS,2025-07-07,160,432319,7781742,206957.78,173655.04,1091,159.17,25.26,4.7,Yes,Yes
G009,Speed Drifters,Racing,PC,Germany,Europe,P000018,13-17,Male,Android,2025-07-15,75,385210,3081680,139562.43,78572.4,4266,18.42,27.83,3.6,No,Yes
G008,PUBG Mobile,Battle Royale,Mobile,Pakistan,Asia,P000019,45+,Female,PC,2025-07-27,220,175715,1932865,173490.02,108634.75,4388,24.76,54.98,4.1,No,No
G002,Valorant,FPS,Mobile,India,Asia,P000020,25-34,Male,iOS,2025-05-21,124,356878,4282536,107656.33,54511.23,2500,21.8,39.71,4.9,No,No
G004,Call of Duty Mobile,FPS,PC,Brazil,South America,P000021,25-34,Male,PC,2026-01-10,9,89654,1613772,248524.08,149587.86,3471,43.1,47.64,4.2,Yes,No
G002,Valorant,FPS,Mobile,UK,Europe,P000022,25-34,Female,Android,2025-07-05,74,332117,4649638,128553.31,55553.72,1892,29.36,75.64,4.7,No,No
G003,Call of Duty Mobile,FPS,PC,UK,Europe,P000023,13-17,Female,Android,2025-04-01,210,486910,9738200,175403.94,78007.59,491,158.87,42.46,4.4,Yes,Yes
G010,League of Legends,MOBA,Mobile,India,Asia,P000024,13-17,Male,Android,2025-06-15,72,242908,1214540,85448.79,57808.85,2214,26.11,28.38,3.8,No,No
G001,Chess Rush,Strategy,PC,Brazil,South America,P000025,13-17,Male,Android,2026-06-02,146,157022,2983418,125522.06,61374.0,2862,21.44,90.53,4.3,Yes,No
G005,PUBG Mobile,Battle Royale,Mobile,South Korea,Asia,P000026,18-24,Female,Android,2025-05-24,108,349200,6984000,136930.66,115619.18,4170,27.73,91.29,5.0,Yes,Yes
G009,PUBG Mobile,Battle Royale,PC,USA,North America,P000027,45+,Male,PC,2025-10-28,16,230832,2308320,14794.87,10838.93,3140,3.45,55.78,3.7,No,Yes
G004,League of Legends,MOBA,PC,Japan,Asia,P000028,18-24,Male,iOS,2026-01-26,26,177452,2661780,61867.18,54618.41,2555,21.38,56.8,4.3,Yes,Yes
G001,Chess Rush,Strategy,PC,China,Asia,P000029,13-17,Female,iOS,2025-08-27,26,52632,684216,204444.03,96483.8,4827,19.99,64.23,4.3,Yes,No
G009,Valorant,FPS,PC,Pakistan,Asia,P000030,45+,Male,PC,2026-06-01,150,83361,1167054,181314.79,130838.52,378,346.13,80.94,4.7,Yes,Yes
G009,Honor of Kings,MOBA,Mobile,China,Asia,P000031,13-17,Male,iOS,2025-09-28,5,74779,1196464,239919.5,141146.83,3717,37.97,55.62,3.6,Yes,Yes
G004,Speed Drifters,Racing,PC,USA,North America,P000032,35-44,Female,Android,2026-05-06,238,429263,3004841,211687.27,109525.47,1701,64.39,70.81,4.7,Yes,Yes
G003,Undawn,RPG,Mobile,Indonesia,Asia,P000033,35-44,Male,iOS,2025-10-03,177,178944,2326272,163232.06,121843.5,4671,26.09,31.67,3.8,No,No
G004,Chess Rush,Strategy,PC,USA,North America,P000034,13-17,Female,Android,2025-10-24,122,248617,4723723,117118.45,53786.82,4518,11.91,30.12,4.3,No,No
G005,CrossFire,FPS,PC,Brazil,South America,P000035,18-24,Female,Android,2026-01-09,64,485538,5340918,19578.6,8715.44,4313,2.02,58.36,4.8,No,Yes
G006,Call of Duty Mobile,FPS,PC,China,Asia,P000036,25-34,Male,iOS,2025-01-02,88,262790,4993010,101949.41,77847.69,3429,22.7,75.3,4.8,Yes,Yes
G002,Honor of Kings,MOBA,PC,USA,North America,P000037,35-44,Female,Android,2025-10-15,31,137756,2204096,17179.36,10223.1,4846,2.11,28.46,4.5,Yes,Yes
G001,League of Legends,MOBA,PC,South Korea,Asia,P000038,45+,Male,PC,2025-03-24,17,272891,4093365,48272.41,28320.2,3524,8.04,87.54,4.1,Yes,No
G005,Speed Drifters,Racing,PC,China,Asia,P000039,25-34,Female,PC,2025-09-02,82,483100,4347900,43519.94,26435.46,2328,11.36,57.37,4.5,Yes,Yes
G008,Call of Duty Mobile,FPS,PC,India,Asia,P000040,18-24,Male,Android,2025-04-03,49,113985,2279700,138046.25,86485.01,2746,31.49,47.91,3.6,Yes,No
G009,League of Legends,MOBA,Mobile,Germany,Europe,P000041,35-44,Female,iOS,2025-03-05,132,110980,554900,187664.74,113798.18,3410,33.37,43.59,5.0,Yes,Yes
G005,PUBG Mobile,Battle Royale,Mobile,USA,North America,P000042,18-24,Male,iOS,2026-04-30,155,475176,5702112,96755.63,69944.24,3557,19.66,57.82,3.6,No,No
G008,Arena of Valor,MOBA,Mobile,India,Asia,P000043,45+,Male,Android,2025-05-09,64,122335,1101015,38864.99,34432.2,912,37.75,63.15,3.6,No,Yes
G005,League of Legends,MOBA,Mobile,UK,Europe,P000044,35-44,Female,Android,2025-01-02,7,338599,6094782,174946.9,79787.39,596,133.87,61.01,5.0,No,No
G005,Arena of Valor,MOBA,Mobile,Pakistan,Asia,P000045,13-17,Male,iOS,2026-03-07,25,280921,3371052,137203.56,56890.14,3393,16.77,42.24,4.5,No,Yes
G004,Speed Drifters,Racing,Mobile,China,Asia,P000046,25-34,Male,Android,2026-05-23,56,369811,5547165,179864.73,104530.18,3266,32.01,45.88,4.7,Yes,No
G004,Arena of Valor,MOBA,PC,USA,North America,P000047,35-44,Male,PC,2025-05-30,105,403705,5651870,28143.01,20032.15,1554,12.89,28.64,3.5,Yes,No
